freq,fpm,rel,ref#,text type,value
3,0.1048363195784238,26.1,35,Genre,Law
1,0.034945439859474604,30.7,35,Genre,Leaflet
3130,109.3792267601555,100.4,35,Editor,Academic/Research/Educational
2106,73.5950963440535,103.7,35,Editor,Business/NGO
365,12.75508554870823,143.9,35,Editor,Unknown/NA editor
333,11.636831473205042,72.9,35,Editor,Government
166,5.800943016672784,69.0,35,Editor,Other
6,0.2096726391568476,32.5,35,Genre,News
3192,111.54584403144293,92.9,35,User,Expert
1667,58.25404824574416,95.4,35,User,Semi-expert
1173,40.99100095516371,135.8,35,User,General public
68,2.376289910444273,138.5,35,User,Unknown/NA user
15,0.5241815978921189,18.1,35,Genre,Thesis
36,1.2580358349410856,96.2,35,Genre,Informational website
40,1.397817594378984,65.2,35,Genre,Others
126,4.403125422293799,56.3,35,Domain,2.8 Ecology
117,4.0886164635585285,67.8,35,Domain,2.9 Soil Sciences
114,3.9837801439801046,85.9,35,Domain,3.2.4 Mining Engineering
106,3.704216625104308,69.2,35,Domain,2.1 Geography
91,3.1800350272121887,99.0,35,Domain,1.1 Environmental Law
85,2.9703623880553414,43.9,35,Domain,3.5 Energy Engineering
77,2.6907988691795444,113.9,35,Domain,3.4 Chemical Engineering
71,2.4811262300226966,70.9,35,Domain,3.2.5 Environmental Engineering
70,2.446180790163222,52.0,35,Domain,2.2.3 Zoology
47,1.6424356733953063,40.5,35,Domain,2.2.5 Molecular Biology
36,1.2580358349410856,32.4,35,Domain,3.2.1 Transport and Infrastructure Engineering
27,0.9435268762058142,63.4,35,Domain,2.3 Physics
12,0.4193452783136952,132.5,35,Domain,2.2.4 Microbiology
11,0.3843998384542206,211.3,35,Domain,1.2 Environmental Education
4,0.13978175943789842,35.9,35,Domain,2.8.1 Human Ecology
2200,76.87996769084413,98.8,35,Genre,Article
2184,76.32084065309253,125.3,35,Genre,Lexicographical material
1278,44.66027214040854,83.8,35,Genre,Book
332,11.601886033345568,86.2,35,Genre,Report
130,4.542907181731699,97.7,35,Domain,3.2.5.1 Waste Management
142,4.962252460045393,71.7,35,Domain,1 Environmental Protection
167,5.835888456532259,70.3,35,Domain,2.6 Chemistry
189,6.6046881334407,91.5,35,Domain,3.1 Marine Engineering
1849,64.61411830016853,56.4,35,Domain,3.2.3 Coastal Engineering
1381,48.25965244593442,60.5,35,Domain,2.7.1 Meteorology
1058,36.97227537132413,97.2,35,Domain,0 General
512,17.892065208050997,46.1,35,Domain,2.10 Oceanography
320,11.182540755031871,103.0,35,Domain,3.2.2 Hydraulic Engineering
289,10.09923211938816,96.0,35,Domain,3.2.5.2 Water Treatment and Supply
264,9.225596122901296,66.6,35,Domain,2.2.2 Botany
256,8.946032604025499,69.0,35,Domain,3.2.5.3 Air Quality Management
234,8.177232927117057,52.3,35,Domain,2.4 Geology
226,7.89766940824126,50.6,35,Domain,3.3  Agricultural Engineering
213,7.44337869006809,70.5,35,Domain,2.5 Hydrology
207,7.233706050911243,96.3,35,Domain,3.5.1 Renewable Energy
1034,36.13358481469674,58.2,35,Domain,2.7.2 Climatology
13352,466.59151300370485,154.7,39,User,Semi-expert
10876,380.06660391164576,64.1,39,User,Expert
5535,193.42300962219193,129.8,39,User,General public
356,12.440576589972958,146.8,39,User,Unknown/NA user
41,1.4327630342384587,45.0,39,Genre,News
11,0.3843998384542206,50.0,39,Genre,Patent
12845,448.87417499495126,83.5,39,Editor,Academic/Research/Educational
11175,390.5152904296287,111.5,39,Editor,Business/NGO
3471,121.29562175223633,153.8,39,Editor,Government
1689,59.0228479226526,134.8,39,Editor,Unknown/NA editor
939,32.81376802804665,79.1,39,Editor,Other
124,4.33323454257485,218.9,39,Genre,Law
143,4.997197899904868,888.9,39,Genre,Leaflet
181,6.325124614564903,98.0,39,Genre,Informational website
180,6.290179174705428,43.9,39,Genre,Thesis
1080,37.741075048232574,20.9,39,Domain,2.10 Oceanography
884,30.891768835775547,84.9,39,Domain,2.8 Ecology
836,29.21438772252077,135.1,39,Domain,3.2.5.1 Waste Management
772,26.977879571514393,85.7,39,Domain,3.5 Energy Engineering
670,23.413444705847983,108.5,39,Domain,3.2.4 Mining Engineering
660,23.06399030725324,66.0,39,Domain,3.5.1 Renewable Energy
660,23.06399030725324,46.9,39,Domain,2.5 Hydrology
622,21.736063592593204,133.4,39,Domain,3.2.5 Environmental Engineering
560,19.569446321305776,178.0,39,Domain,3.4 Chemical Engineering
515,17.99690152762942,82.3,39,Domain,2.2.3 Zoology
485,16.94853833184518,33.5,39,Domain,3.2.2 Hydraulic Engineering
484,16.913592891985704,67.9,39,Domain,2.1 Geography
473,16.52919305353149,49.2,39,Domain,3.1 Marine Engineering
1210,42.283982229964266,131.2,39,Domain,1 Environmental Protection
456,15.935120575920418,88.2,39,Domain,3.2.1 Transport and Infrastructure Engineering
370,12.929812748005602,68.5,39,Domain,2.2.5 Molecular Biology
126,4.403125422293799,15.7,39,Domain,2.9 Soil Sciences
65,2.2714535908658493,32.8,39,Domain,2.3 Physics
46,1.6074902335358316,24.3,39,Domain,2.2 Biology
35,1.223090395081611,114.0,39,Domain,3.2.5.4 Soil Quality Management
19,0.6639633573300174,36.7,39,Domain,2.8.1 Human Ecology
12,0.4193452783136952,28.5,39,Domain,2.2.4 Microbiology
3,0.1048363195784238,15.2,39,Domain,1.3 Sustainable Tourism
13844,483.7846694145664,160.9,39,Genre,Lexicographical material
8110,283.407517260339,107.7,39,Genre,Book
4477,156.4507342508678,40.7,39,Genre,Article
2644,92.39574298845085,139.1,39,Genre,Report
364,12.720140108848755,120.1,39,Genre,Others
427,14.921702819995653,99.8,39,Domain,1.1 Environmental Law
1222,42.703327508277965,110.6,39,Domain,2.6 Chemistry
1458,50.950451315113966,104.1,39,Domain,3.2.5.2 Water Treatment and Supply
1463,51.125178514411346,79.3,39,Domain,2.2.2 Botany
5371,187.6919574852381,65.0,39,Domain,2.7.2 Climatology
4782,167.10909340800754,45.0,39,Domain,2.7.1 Meteorology
2271,79.36109392086682,131.6,39,Domain,3.2.5.3 Air Quality Management
1953,68.2484440455539,93.9,39,Domain,2.4 Geology
1911,66.78073557145596,92.0,39,Domain,3.3  Agricultural Engineering
6555,229.06735827885603,129.4,39,Domain,0 General
5588,195.27511793474406,36.6,39,Domain,3.2.3 Coastal Engineering
74,2.5859625496011205,139.4,43,User,Unknown/NA user
675,23.588171905145355,72.3,43,User,General public
1336,46.68710765225807,70.7,43,User,Semi-expert
4509,157.568988326371,121.3,43,User,Expert
285,9.95945035995026,103.9,43,Editor,Unknown/NA editor
91,3.1800350272121887,59.6,43,Domain,3.2.4 Mining Engineering
94,3.2848713467906125,120.7,43,Domain,3.4 Chemical Engineering
98,3.4246531062285106,44.0,43,Domain,3.5 Energy Engineering
103,3.599380305525884,80.4,43,Domain,3.2.1 Transport and Infrastructure Engineering
105,3.6692711852448334,40.7,43,Domain,2.8 Ecology
135,4.717634381029072,31.6,43,Domain,3.2.5.3 Air Quality Management
145,5.067088779623817,53.0,43,Domain,2.6 Chemistry
146,5.102034219483292,59.0,43,Domain,3.5.1 Renewable Energy
164,5.731052136953835,47.3,43,Domain,3.2.5.2 Water Treatment and Supply
186,6.499851813862276,36.2,43,Domain,3.3  Agricultural Engineering
207,7.233706050911243,45.3,43,Domain,2.2.2 Botany
241,8.421851006133378,46.8,43,Domain,2.4 Geology
243,8.491741885852328,122.2,43,Domain,2.9 Soil Sciences
266,9.295487002620245,76.5,43,Domain,2.5 Hydrology
310,10.833086356437127,130.3,43,Domain,3.1 Marine Engineering
364,12.720140108848755,29.0,43,Domain,0 General
451,15.760393376623046,126.0,43,Domain,3.2.2 Hydraulic Engineering
993,34.700821780458284,77.6,43,Domain,2.10 Oceanography
1224,42.77321838799691,59.8,43,Domain,2.7.2 Climatology
1451,50.70583323609765,55.2,43,Domain,2.7.1 Meteorology
