s.id,frq,fpm,ref#
s#927414,5,0.174727199297373,11
s#360902,5,0.174727199297373,11
s#202083,5,0.174727199297373,11
s#809849,5,0.174727199297373,11
s#246425,5,0.174727199297373,11
s#79781,5,0.174727199297373,11
s#301949,5,0.174727199297373,11
s#50663,5,0.174727199297373,11
s#396933,5,0.174727199297373,11
s#776386,5,0.174727199297373,11
s#226490,5,0.174727199297373,11
s#603035,5,0.174727199297373,11
s#134280,8,0.27956351887579683,11
s#704084,5,0.174727199297373,11
s#952345,10,0.349454398594746,11
s#940396,10,0.349454398594746,11
s#907188,6,0.2096726391568476,11
s#586790,6,0.2096726391568476,11
s#800550,10,0.349454398594746,11
s#987153,10,0.349454398594746,11
s#705091,5,0.174727199297373,15
s#692067,5,0.174727199297373,15
s#728781,3,0.1048363195784238,15
s#25640,3,0.1048363195784238,15
s#355817,3,0.1048363195784238,15
s#366391,2,0.06989087971894921,15
s#891940,2,0.06989087971894921,15
s#1066123,2,0.06989087971894921,15
s#794476,1,0.034945439859474604,15
s#384871,5,0.174727199297373,19
s#384872,5,0.174727199297373,19
s#705091,5,0.174727199297373,19
s#816199,5,0.174727199297373,19
s#692067,5,0.174727199297373,19
s#730410,5,0.174727199297373,19
s#734098,5,0.174727199297373,19
s#663891,5,0.174727199297373,19
s#455316,5,0.174727199297373,19
s#648590,5,0.174727199297373,19
s#636733,5,0.174727199297373,19
s#938035,5,0.174727199297373,19
s#154135,4,0.13978175943789842,19
s#776915,4,0.13978175943789842,19
s#40963,4,0.13978175943789842,19
s#775439,5,0.174727199297373,19
s#816127,6,0.2096726391568476,19
s#769056,6,0.2096726391568476,19
s#86131,6,0.2096726391568476,19
s#25778,6,0.2096726391568476,19
s#1061739,6,0.2096726391568476,19
s#222425,4,0.13978175943789842,19
s#783820,4,0.13978175943789842,19
s#85040,4,0.13978175943789842,19
s#949984,5,0.174727199297373,19
s#92398,4,0.13978175943789842,19
s#111405,4,0.13978175943789842,19
s#166960,4,0.13978175943789842,19
s#1020274,4,0.13978175943789842,19
s#665400,4,0.13978175943789842,19
s#732256,4,0.13978175943789842,19
s#734165,4,0.13978175943789842,19
s#754339,4,0.13978175943789842,19
s#65820,4,0.13978175943789842,19
s#762056,4,0.13978175943789842,19
s#268697,4,0.13978175943789842,19
s#774652,4,0.13978175943789842,19
s#24787,4,0.13978175943789842,19
s#829056,5,0.174727199297373,19
s#973228,4,0.13978175943789842,19
s#365906,4,0.13978175943789842,19
s#215228,4,0.13978175943789842,19
s#65776,4,0.13978175943789842,19
s#923211,4,0.13978175943789842,19
s#1065924,4,0.13978175943789842,19
s#112824,4,0.13978175943789842,19
s#482936,4,0.13978175943789842,19
s#66769,4,0.13978175943789842,19
s#130411,4,0.13978175943789842,19
s#66722,4,0.13978175943789842,19
s#382469,4,0.13978175943789842,23
s#1061958,6,0.2096726391568476,23
s#693962,5,0.174727199297373,23
s#560829,5,0.174727199297373,23
s#506373,5,0.174727199297373,23
s#512733,5,0.174727199297373,23
s#1011212,5,0.174727199297373,23
s#750632,5,0.174727199297373,23
s#355570,4,0.13978175943789842,23
s#398454,3,0.1048363195784238,23
s#739338,4,0.13978175943789842,23
s#778524,4,0.13978175943789842,23
s#972843,4,0.13978175943789842,23
s#677250,3,0.1048363195784238,23
s#973699,6,0.2096726391568476,23
s#945368,3,0.1048363195784238,23
s#1863,3,0.1048363195784238,23
s#357339,3,0.1048363195784238,23
s#933419,3,0.1048363195784238,23
s#203123,4,0.13978175943789842,23
s#370398,6,0.2096726391568476,23
s#1009804,7,0.2446180790163222,23
s#525518,6,0.2096726391568476,23
s#306293,15,0.5241815978921189,23
s#51421,12,0.4193452783136952,23
s#106741,12,0.4193452783136952,23
s#561001,11,0.3843998384542206,23
s#138445,9,0.3145089587352714,23
s#138526,9,0.3145089587352714,23
s#798338,9,0.3145089587352714,23
s#580719,8,0.27956351887579683,23
s#135243,8,0.27956351887579683,23
s#814415,6,0.2096726391568476,23
s#709402,8,0.27956351887579683,23
s#773240,8,0.27956351887579683,23
s#798216,8,0.27956351887579683,23
s#1033574,8,0.27956351887579683,23
s#68541,7,0.2446180790163222,23
s#549798,7,0.2446180790163222,23
s#828874,3,0.1048363195784238,23
s#579305,7,0.2446180790163222,23
s#723261,7,0.2446180790163222,23
s#1018522,7,0.2446180790163222,23
s#218360,8,0.27956351887579683,23
s#866816,3,0.1048363195784238,23
s#132454,6,0.2096726391568476,23
s#710045,2,0.06989087971894921,23
s#441846,2,0.06989087971894921,23
s#211691,2,0.06989087971894921,23
s#1029016,3,0.1048363195784238,23
s#525881,180,6.290179174705428,27
s#29046,191,6.674579013159649,27
s#150138,196,6.849306212457021,27
s#214489,199,6.954142532035446,27
s#208183,199,6.954142532035446,27
s#908246,204,7.128869731332819,27
s#497136,240,8.386905566273903,27
s#577842,246,8.59657820543075,27
s#509939,261,9.120759803322871,27
s#479704,270,9.435268762058143,27
s#339644,274,9.575050521496042,27
s#591540,282,9.854614040371837,27
s#809863,169,5.905779336251208,27
s#579816,288,10.064286679528685,27
s#654846,432,15.096430019293027,27
s#666301,432,15.096430019293027,27
s#342277,413,14.43246666196301,27
s#207167,404,14.11795770322774,27
s#27510,361,12.615303789270332,27
s#266918,338,11.811558672502416,27
s#660488,336,11.741667792783467,27
s#596294,300,10.48363195784238,27
s#557423,275,9.609995961355516,27
s#207127,168,5.8708338963917335,27
s#77491,210,7.338542370489667,27
s#107871,164,5.731052136953835,27
s#1041656,116,4.053671023699054,27
s#619683,117,4.0886164635585285,27
s#714588,117,4.0886164635585285,27
s#332879,168,5.8708338963917335,27
s#213731,120,4.1934527831369515,27
s#395158,122,4.263343662855901,27
s#592305,123,4.298289102715375,27
s#160412,124,4.33323454257485,27
s#77653,126,4.403125422293799,27
s#644565,126,4.403125422293799,27
s#106256,130,4.542907181731699,27
s#955481,136,4.752579820888546,27
s#401002,118,4.123561903418003,27
s#589223,138,4.822470700607496,27
s#943532,136,4.752579820888546,27
s#1027574,159,5.556324937656461,27
s#336098,156,5.451488618078038,27
s#194954,917,32.04496835113821,27
s#205138,154,5.381597738359089,27
s#536065,161,5.62621581737541,27
s#781377,144,5.0321433397643425,27
s#427867,140,4.892361580326444,27
s#436995,138,4.822470700607496,27
s#194320,154,5.381597738359089,27
s#757271,147,5.136979659342766,31
s#526719,305,10.658359157139754,31
s#28918,162,5.661161257234885,31
s#348716,173,6.045561095689107,31
s#572514,185,6.464906374002801,31
s#204716,196,6.849306212457021,31
s#195558,267,9.330432442479719,31
s#419348,152,5.3117068586401395,31
s#530174,90,3.145089587352714,31
s#366397,105,3.6692711852448334,31
s#1066129,99,3.4595985460879852,31
s#439046,95,3.319816786650087,31
s#550322,90,3.145089587352714,31
s#530621,89,3.1101441474932394,31
s#596629,88,3.075198707633765,31
s#531427,86,3.005307827914816,31
s#201159,141,4.927307020185919,31
s#437072,108,3.774107504823257,31
s#372532,139,4.857416140466969,31
s#204179,79,2.760689748898493,31
s#195373,135,4.717634381029072,31
s#28108,84,2.9354169481958667,31
s#967017,82,2.8655260684769175,31
s#203432,81,2.8305806286174424,31
s#205772,81,2.8305806286174424,31
s#975634,81,2.8305806286174424,31
s#436960,111,3.8789438244016807,31
s#859739,80,2.795635188757968,31
s#205943,78,2.725744309039019,31
s#523004,74,2.5859625496011205,31
s#438887,72,2.5160716698821712,31
s#441419,70,2.446180790163222,31
s#205395,70,2.446180790163222,31
s#200636,123,4.298289102715375,31
s#201649,127,4.438070862153275,31
s#515766,129,4.507961741872224,31
s#439229,130,4.542907181731699,31
s#199325,133,4.6477435013101225,31
s#42902,70,2.446180790163222,31
s#717178,69,2.411235350303748,31
s#205060,69,2.411235350303748,31
s#206110,68,2.376289910444273,31
s#523331,66,2.306399030725324,31
s#583947,66,2.306399030725324,31
s#186758,66,2.306399030725324,31
s#803499,66,2.306399030725324,31
s#552968,66,2.306399030725324,31
s#429819,66,2.306399030725324,31
s#198485,137,4.787525260748021,31
s#200689,85,2.9703623880553414,31
s#904964,19,0.6639633573300174,35
s#5340,17,0.5940724776110683,35
s#620091,12,0.4193452783136952,35
s#744445,12,0.4193452783136952,35
s#346852,12,0.4193452783136952,35
s#827278,13,0.45429071817316985,35
s#816706,13,0.45429071817316985,35
s#359849,13,0.45429071817316985,35
s#241318,15,0.5241815978921189,35
s#22335,15,0.5241815978921189,35
s#220286,15,0.5241815978921189,35
s#124240,15,0.5241815978921189,35
s#87234,15,0.5241815978921189,35
s#327466,15,0.5241815978921189,35
s#105411,12,0.4193452783136952,35
s#220706,15,0.5241815978921189,35
s#448852,16,0.5591270377515937,35
s#237779,16,0.5591270377515937,35
s#540892,17,0.5940724776110683,35
s#220704,17,0.5940724776110683,35
s#760483,17,0.5940724776110683,35
