ref#,relation,cql,concsize,count,freq min,freq max,freq mean,freq std,fpm min,fpm max,fpm mean,fpm std,rel min,rel max,rel mean,rel std
168,#3 ENTITY is formed/forms in LOCATION,"1:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""]? [tag=""RB.*""] [lemma=""form""] [word=""over|on|in|off|near|along|next|under|onto|into|at""] [word=""to""]? [tag!=""V.*""]*  2:[tag=""N.*""] within <s/>",546.0,28,1.0,378.0,85.21428571428571,116.48187178710023,0.034945439859474604,13.2093762668814,2.9778506965966574,4.070510245255142,2.9,339.6,78.01785714285714,85.66095551032453
172,#4 ENTITY extends out into PLACE,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""be""]? [tag=""RB.*""]* [lemma=""extend""][word=""out""]? [word=""into|parallel|perpendicular""] [word=""of|to""]? [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",673.0,39,1.0,324.0,74.97435897435898,97.50964518540479,0.034945439859474604,11.32232251446977,2.620011952541122,3.4075174415452705,7.9,2503.8,140.6820512820513,392.64130803397245
180,#1 CAUSE responsible for EFFECT,"1:[tag=""N.*""] [tag!=""V.*""]{0,7}[lemma=""be|,|\(""]? [tag=""RB.*"" & word!=""rarely|never|hardly""]* [word=""responsible""] [word=""for""] [tag!=""V.*""]{0,5} 2:[tag=""N.*|V.*""] within <s/>",7749.0,52,2.0,3931.0,678.8269230769231,1020.4757007060598,0.06989087971894921,137.37052408759465,23.72190541537681,35.66097222707881,25.8,221.0,77.67115384615384,38.09180003642626
184,#2 CAUSE causes EFFECT,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""cause|produce|generate|provoke|induce|trigger|originate"" & tag!=""VVN""] [tag!=""V.*|IN""]{0,7} 2:[tag=""N.*""] [word!=""to""] within <s/>",57737.0,59,7.0,26423.0,4451.254237288135,7248.678592047015,0.2446180790163222,923.3633574068974,155.55103724838403,253.30826179904,26.5,161.6,76.82203389830508,30.557701595938415
188,#3 CAUSE leads to EFFECT,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} ([lemma=""lead|contribute""] | [lemma=""give""] [lemma=""rise""]) [word=""to""] [tag!=""V.*|IN""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",29048.0,55,9.0,15448.0,2401.418181818182,3836.193342223845,0.3145089587352714,539.8371549491637,83.91861465017611,134.05746373000028,17.0,251.4,78.36545454545455,39.97567416883079
192,#4 CAUSE-driven EFFECT,"1:[tag=""N.*"" & word="".*driven|.*induced|.*caused""] 2:[tag=""N.*""] within <s/>",199.0,36,1.0,170.0,25.75,44.775870415085976,0.034945439859474604,5.940724776110683,0.8998450763814709,1.564712486746015,7.7,194.1,59.219444444444434,44.220633964858166
196,#5 EFFECT caused by CAUSE,"2:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""be|,|\(""]? [tag=""RB.*""]* [word=""caused|produced|generated|provoked|induced|triggered|originated""] [tag=""RB.*""]* ([word=""by""]|[word=""because""][word=""of""] | [word=""due""] [word=""to""]) [tag!=""V.*""]{0,7} 1:[tag=""N.*""] within <s/>",42598.0,58,2.0,21912.0,3338.448275862069,5673.977064224691,0.06989087971894921,765.7244782008074,116.66354344810462,198.27962426190223,8.8,132.4,66.89827586206897,27.925643697550917
199,#6 EFFECT results from CAUSE,"2:[tag=""N.*""][]{0,5} [tag!=""V.*""]{0,7} [lemma=""derive|result""] [word=""from""] [tag!=""V.*""]{0,7} 1:[tag=""N.*""] within <s/>",35422.0,58,3.0,21213.0,2767.9655172413795,4816.700890908039,0.1048363195784238,741.2976157390348,96.72777251585812,168.3217313043046,15.9,200.5,76.88620689655171,42.63278307098301
203,#7 the cause of EFFECT is CAUSE,"[lemma=""cause"" & tag=""N.*""] [word=""of""] 2:[tag=""N.*""] [tag!=""V.*""]{0,3} [lemma=""be""] [tag!=""V.*""]{0,7} 1:[tag=""N.*""] within <s/>",116.0,34,1.0,63.0,15.5,17.56244270992489,0.034945439859474604,2.2015627111468996,0.5416543178218564,0.6137272855051484,17.0,372.5,110.32941176470588,81.9318065644608
207,#8 CAUSE is the (main) cause of EFFECT,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""be""] [tag!=""V.*""]{0,7} [lemma=""cause"" & tag=""N.*""] [word=""of""] 2:[tag=""N.*""] within <s/>",278.0,41,1.0,133.0,30.463414634146343,37.163892127289095,0.034945439859474604,4.6477435013101225,1.0645574240117994,1.2987085572781827,11.8,762.6,124.75121951219512,137.56371455066053
211,"#9 CAUSE, the (main) cause of EFFECT","1:[tag=""N.*""] "",|\("" [tag!=""V.*""]{0,7} [lemma=""cause"" & tag=""N.*""] [word=""of""] 2:[tag=""N.*""] within <s/>",43.0,25,1.0,24.0,7.56,6.2920584866957485,0.034945439859474604,0.8386905566273904,0.264187525337628,0.21987875143912308,28.4,352.5,115.86800000000001,72.97959600692054
214,#10 EFFECT is formed/forms by/from CAUSE,"2:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""] [tag=""RB.*""] [lemma=""form""] [word=""by|from""] [tag!=""V.*""]*  1:[tag=""N.*""] within <s/>",80.0,29,1.0,48.0,12.448275862068966,13.97340894826556,0.034945439859474604,1.677381113254781,0.4350104754920803,0.4883069220334583,28.2,561.5,119.8206896551724,118.6910948016812
222,#1 INSTRUMENT has/provide/play/assume the function/role/purpose of FUNCTION,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""have|provide|play|assume|fulfill|serve|take|perform""] [tag=""DT.*|JJ.*|RB.*""]* [lemma=""function|role|purpose""] [word=""of""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",356.0,30,1.0,199.0,53.1,55.56440810695155,0.034945439859474604,6.954142532035446,1.8556028565381013,1.941722681828778,10.4,418.7,112.14999999999999,89.28280040565407
226,#2 INSTRUMENT is built/designed for FUNCTION,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} "",|\(""? [tag=""IN/that|WDT""]? [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be|,|\(""] [tag=""RB.*"" & word!=""not""]* [word=""built|designed|needed|required|selected|employed|devised|developed|known|well-known|adequate|necessary""] [word=""for|to""] [tag!=""W.*""]{0,7} [tag=""DT.*|JJ.*|RB.*""]* 2:[tag=""N.*|V.*""] within <s/>",48037.0,55,33.0,30998.0,4011.090909090909,6753.691128705315,1.153199515362662,1083.2387447639937,140.16933613452167,236.0107071676387,14.9,331.3,97.76363636363635,63.620379810817916
230,#3 INSTRUMENT is essential/useful/appropiate/critical/effective for FUNCTION,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} "",|\(""? [tag=""IN/that|WDT""]? [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be|,|\(""]? [tag=""RB.*"" & word!=""not""]* [word=""essential|useful|appropiate|critical|effective""] [word=""for|to""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",9919.0,52,1.0,6036.0,869.8076923076923,1353.4286169267068,0.034945439859474604,210.9306749917887,30.39581240084685,47.29615833690412,6.0,226.4,79.6826923076923,41.00389613794894
234,#4 INSTRUMENT is a X (that is) designed for/to FUNCTION,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""be""] [tag=""RB.*"" & word!=""not""]? [tag=""DT.*""]? [tag=""N.*""] [word=""that""]? [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be""]? [tag=""RB.*"" & word!=""not""]* [word=""built|designed|needed|required|selected|devised|developed|necessary""] [word=""for|to""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",261.0,30,2.0,140.0,39.96666666666667,40.80524250745183,0.06989087971894921,4.892361580326444,1.3966527463836682,1.4259571479954347,24.6,753.6,141.77666666666664,142.35157711015052
238,#5 INSTRUMENT is a X (that is) used for FUNCTION(verb/noun),"1:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""be""] [tag=""DT.*""]? [tag=""N.*"" & lemma!=""name|term|word""] [word=""that""]? [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be""]? [tag=""RB.*"" & word!=""not""]* [word=""used|reused|employed""] [word=""for|as""] [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",143.0,31,2.0,65.0,20.612903225806452,21.009009843961135,0.06989087971894921,2.2714535908658493,0.7203269700065893,0.7341690900092538,16.6,1386.9,235.43548387096772,373.25475888762367
242,#6 INSTRUMENT is used for FUNCTION,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} "",|\(""? [tag=""IN/that|WDT""]? [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be|,|\(""] [tag=""RB.*"" & word!=""not""]* [word=""reused|used|employed""] [word=""for|as""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*"" & lemma!=""purpose""] within <s/>",29368.0,57,12.0,19521.0,2359.40350877193,4226.269394511839,0.4193452783136952,682.1699314968037,82.45039342002283,147.6888429558516,16.9,273.7,92.76491228070175,62.73735072059224
246,#7 Use #INSTRUMENT for/to FUNCTION,"[lemma=""use|reuse|build|design|need|require|select|devise|develop|employ"" & tag=""V.*""] [tag=""DT.*|JJ.*|RB.*""]* 1:[tag=""N.*""] [tag!=""V.*""]{0,7} [word=""for|to|as""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""W.*""]{0,7} 2:[tag=""N.*|V.*""] within <s/>",38726.0,59,7.0,22838.0,2978.5254237288136,5092.058977757738,0.2446180790163222,798.083955510681,104.08588106483134,177.94424076813075,11.3,214.2,81.37118644067797,34.44210560089585
250,#8 The function/role/purpose of INSTRUMENT is FUNCTION,"[lemma=""function|role|purpose""] [word=""of""] [tag=""DT.*|JJ.*|RB.*""]* 1:[tag=""N.*""] [tag!=""V.*""]{0,7} [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be""] [tag=""DT.*|JJ.*|RB.*""]* [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",604.0,48,2.0,414.0,58.354166666666664,95.74378255094751,0.06989087971894921,14.467412101822486,2.0392120217997576,3.3458085950527496,12.8,4534.3,179.85625000000002,644.3909570222268
252,#8 The function/role/purpose of INSTRUMENT is FUNCTION,"[lemma=""function|role|purpose""] [word=""of""] [tag=""DT.*""]* 1:[tag=""N.*""] [tag!=""V.*""]{0,7} [tag=""MD.*""]? [tag=""RB.*"" & word!=""not""]? [lemma=""be""] [tag=""RB.*""]* [word=""to""] [tag=""RB.*"" & word!=""not""]* [tag!=""W.*""]{0,7} 2:[tag=""V.*""] within <s/>",496.0,48,1.0,365.0,46.9375,77.05577042194277,0.034945439859474604,12.75508554870823,1.640251583404089,2.6927477911054827,16.6,750.4,110.95625,111.46325776885767
